KTS	S	FD	KD	FT	
3	12	0	1	1	
3	2	0	2	2	
6	1	0	5	5	
6	8	0	4	4	
6	11	0	4	4	
8	17	0	5	5	
9	4	0	8	8	
10	5	0	9	9	
11	33	0	6	6	
11	13	0	9	9	
12	58	0	3	3	
12	9	0	10	10	
12	16	7	2	9	
13	18	4	6	10	
14	43	0	7	7	
14	21	1	10	11	
14	14	0	12	12	
16	81	0	4	4	
16	84	-13	16	3	
17	10	0	15	15	
17	36	9	2	11	
17	88	0	4	4	
17	99	0	2	2	
18	67	0	8	8	
18	25	0	14	14	
18	20	9	6	15	
18	26	14	0	14	
19	53	0	11	11	
19	97	0	4	4	
19	23	9	6	15	
19	29	13	1	14	
19	6	0	18	18	
20	40	12	2	14	
20	50	10	2	12	
20	45	13	0	13	
21	27	3	14	17	
21	49	14	0	14	
22	22	4	15	19	
22	28	16	2	18	
22	69	10	1	11	
22	52	14	0	14	
23	41	17	0	17	
23	79	9	2	11	
23	31	14	4	18	
24	94	0	10	10	
24	89	-14	24	10	
24	92	-14	24	10	
25	48	18	0	18	
25	51	11	6	17	
25	66	10	5	15	
25	80	11	2	13	
25	34	14	6	20	
25	54	15	2	17	
25	15	0	22	22	
26	35	17	3	20	
26	56	18	0	18	
26	85	13	0	13	
26	90	12	0	12	
26	91	12	0	12	
26	68	16	0	16	
27	38	0	21	21	
27	82	0	15	15	
27	32	17	5	22	
27	57	18	0	18	
27	60	18	0	18	
27	83	11	3	14	
27	96	12	0	12	
27	98	12	0	12	
27	61	15	3	18	
27	73	16	0	16	
28	24	0	24	24	
28	44	0	21	21	
28	62	0	18	18	
28	93	0	14	14	
28	37	14	8	22	
28	72	15	2	17	
28	74	17	0	17	
28	75	16	0	16	
29	3	0	28	28	
29	7	0	28	28	
29	86	16	0	16	
30	19	26	1	27	
30	30	24	1	25	
30	42	18	6	24	
30	39	24	0	24	
31	47	24	0	24	
31	55	23	0	23	
32	46	24	1	25	
32	59	22	1	23	
32	63	22	0	22	
33	71	22	0	22	
34	64	23	1	24	
34	77	22	0	22	
35	65	22	3	25	
35	70	22	2	24	
35	76	23	0	23	
36	87	23	0	23	
36	95	21	0	21	
38	78	23	3	26	
44	100	21	8	29	
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage	
588.697		291.72		747.075		764
R1_Distance	R2_Distance	R3_Distanc	R4_Distance	
2		2		2		14		
Game is WIN
Killed Enemies	Average Fight Delay	Average Kill Delay	
100		9			5
