KTS	S	FD	KD	FT	
4	4	0	3	3	
5	9	0	3	3	
6	1	0	5	5	
6	18	0	3	3	
6	7	0	5	5	
7	13	0	5	5	
7	14	0	5	5	
7	15	0	5	5	
7	2	0	6	6	
8	19	0	5	5	
8	5	0	7	7	
9	12	0	7	7	
9	21	0	6	6	
10	8	0	9	9	
10	28	5	1	6	
12	17	0	9	9	
12	23	6	2	8	
13	10	0	11	11	
13	22	0	10	10	
14	30	0	9	9	
14	45	0	7	7	
14	60	0	5	5	
14	27	0	10	10	
14	24	0	10	10	
15	3	0	14	14	
15	11	0	13	13	
16	32	11	0	11	
16	33	6	5	11	
16	50	-8	16	8	
17	37	9	2	11	
17	88	0	4	4	
17	6	0	16	16	
18	55	0	10	10	
18	76	0	6	6	
19	20	4	12	16	
19	97	0	4	4	
19	99	0	4	4	
19	46	0	12	12	
20	62	0	10	10	
20	41	10	4	14	
20	36	5	9	14	
21	25	4	13	17	
21	26	5	12	17	
21	35	15	1	16	
21	52	10	3	13	
21	34	12	4	16	
21	42	12	3	15	
22	43	15	0	15	
22	31	9	8	17	
22	44	11	4	15	
22	68	0	12	12	
22	80	0	10	10	
22	48	13	2	15	
23	39	16	1	17	
23	16	3	17	20	
23	29	11	8	19	
23	47	13	3	16	
23	49	14	2	16	
24	94	0	10	10	
24	51	15	1	16	
24	53	12	4	16	
24	56	14	2	16	
24	58	14	1	15	
24	92	-14	24	10	
24	77	12	0	12	
25	59	16	0	16	
25	73	14	0	14	
25	93	0	11	11	
25	61	14	2	16	
25	84	12	0	12	
26	38	15	5	20	
26	70	11	4	15	
26	82	12	2	14	
26	85	12	1	13	
26	63	13	3	16	
26	74	14	1	15	
26	66	13	3	16	
27	72	16	0	16	
27	54	14	5	19	
27	100	11	1	12	
28	78	16	0	16	
28	89	13	1	14	
28	90	13	1	14	
28	69	13	4	17	
29	64	15	4	19	
29	79	17	0	17	
29	96	14	0	14	
29	86	14	2	16	
29	87	13	3	16	
30	40	16	8	24	
30	81	18	0	18	
30	65	11	9	20	
30	83	11	6	17	
30	98	14	1	15	
34	95	15	4	19	
35	75	14	9	23	
36	91	13	9	22	
37	57	15	13	28	
37	71	12	14	26	
38	67	16	12	28	
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage	
541.737		241.84		418.157		508.239
R1_Distance	R2_Distance	R3_Distanc	R4_Distance	
2		2		7		8		
Game is WIN
Killed Enemies	Average Fight Delay	Average Kill Delay	
100		7			5
