KTS	S	FD	KD	FT	
4	4	0	3	3	
5	13	0	3	3	
6	3	0	5	5	
6	17	0	3	3	
7	9	0	5	5	
7	12	0	5	5	
9	14	0	7	7	
11	55	0	3	3	
11	6	0	10	10	
12	20	0	9	9	
13	11	0	11	11	
13	10	0	11	11	
13	15	0	11	11	
14	63	0	4	4	
14	33	0	9	9	
14	45	0	7	7	
14	59	0	5	5	
14	19	4	7	11	
14	26	8	2	10	
15	7	0	14	14	
16	29	9	2	11	
16	56	-8	16	8	
17	75	0	5	5	
17	18	0	14	14	
17	27	3	10	13	
17	2	0	16	16	
18	28	4	10	14	
18	42	10	2	12	
18	86	0	5	5	
18	31	10	3	13	
19	32	13	1	14	
19	97	0	4	4	
19	36	9	4	13	
19	99	0	4	4	
19	23	6	9	15	
19	8	0	18	18	
19	21	0	16	16	
20	38	12	2	14	
20	41	13	1	14	
20	43	13	0	13	
20	39	13	1	14	
21	22	0	18	18	
22	94	0	8	8	
22	58	12	1	13	
22	25	2	16	18	
22	50	11	3	14	
22	24	0	18	18	
23	52	13	2	15	
23	66	13	0	13	
23	47	13	3	16	
23	53	12	3	15	
23	40	0	17	17	
24	81	0	12	12	
24	1	0	23	23	
24	78	-12	24	12	
24	51	12	4	16	
24	34	12	7	19	
25	46	0	18	18	
25	5	0	24	24	
25	16	22	0	22	
25	44	12	6	18	
25	54	13	4	17	
25	57	15	1	16	
25	69	14	0	14	
26	30	21	0	21	
26	35	12	8	20	
26	37	20	0	20	
26	71	11	4	15	
26	83	12	1	13	
26	74	15	0	15	
27	88	-13	27	14	
27	76	11	4	15	
27	89	13	0	13	
27	64	14	3	17	
28	65	0	18	18	
28	48	20	1	21	
28	60	18	1	19	
28	92	14	0	14	
28	84	13	2	15	
29	49	20	2	22	
29	91	14	1	15	
29	96	14	0	14	
30	93	0	16	16	
30	62	10	10	20	
30	67	19	1	20	
30	70	15	4	19	
31	73	13	7	20	
31	77	12	7	19	
32	82	20	0	20	
35	80	20	3	23	
36	61	12	15	27	
36	68	13	13	26	
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage	
641		641		641		641
R1_Distance	R2_Distance	R3_Distanc	R4_Distance	
2		2		2		2		
Game is LOSS
Killed Enemies	Alive Enemies	Average Fight Delay	Average Kill Delay	
92		8		7			6
