KTS	S	FD	KD	FT	
3	14	0	1	1	
4	1	0	3	3	
6	6	0	5	5	
6	4	0	5	5	
7	9	0	5	5	
7	13	0	5	5	
8	17	0	5	5	
8	2	0	7	7	
9	15	0	7	7	
9	23	0	5	5	
10	5	0	9	9	
12	34	0	7	7	
12	7	0	11	11	
14	74	0	2	2	
14	22	5	6	11	
14	45	0	7	7	
14	59	0	5	5	
14	28	0	10	10	
14	36	0	8	8	
15	8	0	14	14	
15	10	0	13	13	
15	11	2	11	13	
16	18	4	9	13	
16	25	-4	16	12	
16	50	-8	16	8	
17	24	4	9	13	
17	51	0	9	9	
17	46	0	10	10	
18	33	12	1	13	
18	19	8	7	15	
19	27	5	10	15	
19	99	0	4	4	
19	71	0	8	8	
19	64	0	9	9	
20	39	13	1	14	
20	12	0	18	18	
21	43	14	0	14	
21	37	14	1	15	
21	16	0	18	18	
21	78	0	9	9	
22	26	12	6	18	
22	84	0	9	9	
22	95	0	7	7	
22	20	19	0	19	
22	31	14	3	17	
23	53	14	1	15	
23	30	18	0	18	
23	32	18	0	18	
24	38	12	6	18	
24	49	14	2	16	
24	52	15	1	16	
24	3	0	23	23	
24	80	-12	24	12	
24	94	-14	24	10	
25	90	0	11	11	
25	58	16	0	16	
25	21	13	9	22	
25	35	10	9	19	
25	89	0	11	11	
25	42	15	3	18	
26	48	16	3	19	
27	41	14	7	21	
27	73	-11	27	16	
27	82	-13	27	14	
27	81	14	1	15	
28	29	18	5	23	
28	40	14	8	22	
28	47	20	1	21	
28	88	15	0	15	
29	44	19	3	22	
29	54	21	0	21	
29	57	20	0	20	
29	72	14	4	18	
30	91	15	1	16	
30	92	16	0	16	
31	55	21	1	22	
32	56	15	8	23	
32	60	20	2	22	
32	63	20	2	22	
33	66	22	1	23	
33	62	16	7	23	
34	65	15	9	24	
34	68	23	0	23	
36	69	23	2	25	
38	96	-15	38	23	
39	61	16	13	29	
39	70	24	4	28	
40	77	28	0	28	
41	79	29	0	29	
46	75	25	9	34	
46	83	29	4	33	
48	85	34	1	35	
49	67	24	14	38	
49	76	28	9	37	
49	87	34	2	36	
49	86	13	23	36	
50	100	35	0	35	
52	97	35	2	37	
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage	
726		726		726		726
R1_Distance	R2_Distance	R3_Distanc	R4_Distance	
2		2		2		3		
Game is LOSS
Killed Enemies	Alive Enemies	Average Fight Delay	Average Kill Delay	
98		2		9			7
