KTS	S	FD	KD	FT	
6	14	0	4	4	
6	18	0	3	3	
8	11	0	6	6	
8	16	-3	8	5	
11	23	0	7	7	
11	24	0	7	7	
11	27	0	6	6	
11	8	0	10	10	
14	36	0	8	8	
14	48	0	7	7	
15	7	0	14	14	
16	4	0	15	15	
17	51	0	9	9	
17	2	0	16	16	
17	20	0	14	14	
18	12	0	16	16	
18	47	0	11	11	
19	34	0	13	13	
19	54	0	10	10	
19	68	0	8	8	
19	9	0	17	17	
19	6	0	18	18	
20	63	0	10	10	
20	25	15	1	16	
20	28	0	15	15	
20	3	0	19	19	
21	5	0	20	20	
21	83	0	8	8	
21	31	16	0	16	
21	21	17	0	17	
22	1	0	21	21	
22	15	0	20	20	
22	97	0	7	7	
22	33	17	0	17	
23	43	15	1	16	
24	17	0	21	21	
24	30	13	6	19	
24	37	17	1	18	
24	38	16	2	18	
24	26	17	3	20	
24	39	17	1	18	
24	81	-12	24	12	
25	19	19	3	22	
25	22	19	2	21	
25	10	16	7	23	
25	35	14	5	19	
25	53	17	0	17	
25	55	16	0	16	
25	58	0	16	16	
25	41	18	0	18	
26	29	18	3	21	
26	45	19	0	19	
26	56	17	0	17	
26	59	17	0	17	
26	13	0	24	24	
27	61	17	0	17	
27	79	0	15	15	
27	67	15	1	16	
27	44	19	1	20	
27	49	18	1	19	
27	57	18	0	18	
28	40	19	3	22	
28	50	18	2	20	
28	60	17	1	18	
28	64	18	0	18	
28	65	18	0	18	
29	75	17	0	17	
29	77	17	0	17	
29	69	17	1	18	
30	82	17	0	17	
30	42	18	5	23	
30	66	18	2	20	
30	74	17	2	19	
30	86	16	1	17	
31	89	16	1	17	
31	71	19	1	20	
31	93	17	0	17	
32	80	17	3	20	
32	96	17	0	17	
32	72	16	5	21	
32	88	17	1	18	
33	78	21	0	21	
33	32	16	12	28	
33	95	16	2	18	
34	85	21	0	21	
34	70	17	6	23	
35	92	17	4	21	
35	46	18	10	28	
35	90	21	0	21	
35	52	16	11	27	
35	91	21	0	21	
36	62	16	10	26	
37	73	16	10	26	
37	98	21	1	22	
39	99	21	3	24	
39	87	21	5	26	
40	76	17	11	28	
44	100	22	7	29	
46	84	19	14	33	
48	94	21	12	33	
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage	
697.695		705.503		726		726
R1_Distance	R2_Distance	R3_Distanc	R4_Distance	
2		2		2		2		
Game is WIN
Killed Enemies	Average Fight Delay	Average Kill Delay	
100		11			6
