KTS	S	FD	KD	FT	
4	1	0	3	3	
6	14	0	4	4	
6	18	0	3	3	
7	11	0	5	5	
8	16	-3	8	5	
9	23	0	5	5	
10	5	0	9	9	
11	24	0	7	7	
11	27	0	6	6	
11	8	0	10	10	
12	36	0	6	6	
12	2	0	11	11	
13	15	0	11	11	
14	48	0	7	7	
15	7	0	14	14	
15	4	0	14	14	
16	12	0	14	14	
17	34	0	11	11	
17	51	0	9	9	
17	9	0	15	15	
17	25	13	0	13	
17	20	0	14	14	
18	68	0	7	7	
18	47	0	11	11	
19	54	0	10	10	
19	97	0	4	4	
19	30	13	1	14	
19	63	0	9	9	
19	31	13	1	14	
19	28	0	14	14	
19	3	0	18	18	
19	6	0	18	18	
20	83	0	7	7	
20	21	16	0	16	
21	17	0	18	18	
21	33	16	0	16	
22	19	15	4	19	
22	10	11	9	20	
22	35	12	4	16	
22	37	14	2	16	
22	39	16	0	16	
23	45	16	0	16	
23	56	14	0	14	
23	43	14	2	16	
23	26	16	3	19	
23	41	16	0	16	
24	53	15	1	16	
24	59	14	1	15	
24	38	14	4	18	
24	58	0	15	15	
24	81	-12	24	12	
25	22	15	6	21	
25	29	15	5	20	
25	40	16	3	19	
25	13	0	23	23	
26	50	16	2	18	
26	79	0	14	14	
26	55	16	1	17	
26	44	17	2	19	
26	49	17	1	18	
26	57	17	0	17	
27	61	16	1	17	
27	67	16	0	16	
27	65	17	0	17	
28	60	16	2	18	
28	64	16	2	18	
28	75	15	1	16	
28	46	13	8	21	
29	77	17	0	17	
29	82	16	0	16	
29	72	14	4	18	
29	78	17	0	17	
29	69	16	2	18	
29	66	17	2	19	
29	74	16	2	18	
30	85	17	0	17	
30	90	16	0	16	
30	42	17	6	23	
30	86	15	2	17	
30	93	16	0	16	
31	80	17	2	19	
31	89	16	1	17	
31	32	15	11	26	
31	71	19	1	20	
31	88	16	1	17	
32	92	16	2	18	
32	96	17	0	17	
32	95	16	1	17	
33	62	14	9	23	
33	98	16	2	18	
33	99	16	2	18	
34	76	16	6	22	
34	70	17	6	23	
35	73	14	10	24	
35	52	16	11	27	
35	91	21	0	21	
37	87	19	5	24	
40	100	19	6	25	
45	84	19	13	32	
46	94	21	10	31	
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage	
490.878		462.86		591.331		698.84
R1_Distance	R2_Distance	R3_Distanc	R4_Distance	
2		2		2		2		
Game is WIN
Killed Enemies	Average Fight Delay	Average Kill Delay	
100		10			5
